#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
136   0.000661394   264.8   9256.73  0  -1048.18   -2.82753e-05   0.521197  0.478803
137   0.000659264   264.8   9256.72  0  -1048.21   -2.81024e-05   0.521441  0.478559
138   0.00065747   264.8   9256.72  0  -1048.24   -2.79308e-05   0.521689  0.478311
139   0.000656011   264.8   9256.71  0  -1048.27   -2.77604e-05   0.52194  0.47806
140   0.000654889   264.8   9256.7  0  -1048.3   -2.75914e-05   0.522195  0.477805
141   0.0006541   264.8   9256.69  0  -1048.33   -2.74238e-05   0.522453  0.477547
142   0.000653643   264.8   9256.69  0  -1048.37   -2.72577e-05   0.522714  0.477286
143   0.000653515   264.8   9256.68  0  -1048.4   -2.70933e-05   0.522979  0.477021
144   0.000653712   264.8   9256.67  0  -1048.43   -2.69305e-05   0.523246  0.476754
145   0.000654228   264.8   9256.66  0  -1048.46   -2.67695e-05   0.523516  0.476484
146   0.000655058   264.8   9256.66  0  -1048.49   -2.66102e-05   0.523789  0.476211
147   0.000656193   264.8   9256.65  0  -1048.52   -2.64529e-05   0.524065  0.475935
148   0.000657623   264.8   9256.64  0  -1048.55   -2.62975e-05   0.524343  0.475657
149   0.000659338   264.8   9256.63  0  -1048.59   -2.61442e-05   0.524623  0.475377
150   0.000661324   264.8   9256.62  0  -1048.62   -2.5993e-05   0.524905  0.475095
151   0.000663566   264.8   9256.61  0  -1048.65   -2.58439e-05   0.52519  0.47481
152   0.000666047   264.8   9256.6  0  -1048.68   -2.5697e-05   0.525476  0.474524
153   0.000668746   264.8   9256.59  0  -1048.71   -2.55524e-05   0.525763  0.474237
154   0.000671643   264.8   9256.58  0  -1048.74   -2.54101e-05   0.526051  0.473949
155   0.000674713   264.8   9256.57  0  -1048.77   -2.52702e-05   0.526341  0.473659
156   0.00067793   264.8   9256.56  0  -1048.8   -2.51327e-05   0.526631  0.473369
157   0.000681264   264.8   9256.54  0  -1048.82   -2.49976e-05   0.526921  0.473079
158   0.000684687   264.8   9256.53  0  -1048.85   -2.4865e-05   0.527212  0.472788
159   0.000688164   264.8   9256.52  0  -1048.88   -2.47349e-05   0.527502  0.472498
160   0.000691664   264.8   9256.5  0  -1048.91   -2.46073e-05   0.527792  0.472208
161   0.000695152   264.8   9256.48  0  -1048.93   -2.44822e-05   0.52808  0.47192
162   0.000698591   264.8   9256.47  0  -1048.96   -2.43596e-05   0.528368  0.471632
163   0.000701949   264.8   9256.45  0  -1048.98   -2.42396e-05   0.528655  0.471345
164   0.00070519   264.8   9256.43  0  -1049   -2.4122e-05   0.528939  0.471061
165   0.000708283   264.8   9256.41  0  -1049.03   -2.40069e-05   0.529222  0.470778
166   0.000711196   264.8   9256.39  0  -1049.05   -2.38943e-05   0.529503  0.470497
167   0.000713901   264.8   9256.37  0  -1049.07   -2.37841e-05   0.529781  0.470219
168   0.000716375   264.8   9256.34  0  -1049.09   -2.36762e-05   0.530056  0.469944
169   0.000718596   264.8   9256.32  0  -1049.11   -2.35706e-05   0.530328  0.469672
170   0.00072055   264.8   9256.3  0  -1049.13   -2.34673e-05   0.530598  0.469402
171   0.000722225   264.8   9256.27  0  -1049.15   -2.33661e-05   0.530864  0.469136
172   0.000723617   264.8   9256.25  0  -1049.17   -2.3267e-05   0.531126  0.468874
173   0.000724725   264.8   9256.22  0  -1049.19   -2.31699e-05   0.531385  0.468615
174   0.000725557   264.8   9256.2  0  -1049.21   -2.30748e-05   0.531641  0.468359
175   0.000726123   264.8   9256.17  0  -1049.22   -2.29815e-05   0.531893  0.468107
176   0.000726442   264.8   9256.15  0  -1049.24   -2.289e-05   0.53214  0.46786
177   0.000726537   264.8   9256.12  0  -1049.26   -2.28001e-05   0.532384  0.467616
178   0.000726435   264.8   9256.1  0  -1049.27   -2.27119e-05   0.532624  0.467376
179   0.000726169   264.8   9256.07  0  -1049.29   -2.26251e-05   0.53286  0.46714
180   0.000725774   264.8   9256.05  0  -1049.3   -2.25398e-05   0.533093  0.466907
181   0.000725292   264.8   9256.02  0  -1049.32   -2.24558e-05   0.533321  0.466679
182   0.000724763   264.8   9256  0  -1049.33   -2.2373e-05   0.533546  0.466454
183   0.000724231   264.8   9255.97  0  -1049.35   -2.22914e-05   0.533767  0.466233
184   0.000723743   264.8   9255.95  0  -1049.36   -2.22109e-05   0.533984  0.466016
185   0.000723343   264.8   9255.92  0  -1049.38   -2.21315e-05   0.534198  0.465802
186   0.000723077   264.8   9255.9  0  -1049.39   -2.2053e-05   0.534408  0.465592
187   0.000722992   264.8   9255.88  0  -1049.41   -2.19755e-05   0.534615  0.465385
188   0.000723129   264.8   9255.86  0  -1049.42   -2.18988e-05   0.534819  0.465181
189   0.000723533   264.8   9255.83  0  -1049.44   -2.18229e-05   0.535019  0.464981
190   0.000724243   264.8   9255.81  0  -1049.45   -2.17478e-05   0.535217  0.464783
191   0.000725296   264.8   9255.79  0  -1049.47   -2.16734e-05   0.535412  0.464588
192   0.000726729   264.8   9255.77  0  -1049.48   -2.15997e-05   0.535604  0.464396
193   0.000728573   264.8   9255.76  0  -1049.5   -2.15266e-05   0.535793  0.464207
194   0.000730857   264.8   9255.74  0  -1049.51   -2.14542e-05   0.53598  0.46402
195   0.000733607   264.8   9255.72  0  -1049.53   -2.13825e-05   0.536164  0.463836
196   0.000736847   264.8   9255.7  0  -1049.54   -2.13113e-05   0.536347  0.463653
197   0.000740597   264.8   9255.69  0  -1049.56   -2.12407e-05   0.536527  0.463473
198   0.000744872   264.8   9255.67  0  -1049.58   -2.11707e-05   0.536705  0.463295
199   0.000749687   264.8   9255.66  0  -1049.59   -2.11012e-05   0.536882  0.463118
200   0.000755053   264.8   9255.65  0  -1049.61   -2.10324e-05   0.537057  0.462943
201   0.000760977   264.8   9255.63  0  -1049.63   -2.0964e-05   0.53723  0.46277
202   0.000767465   264.8   9255.62  0  -1049.65   -2.08962e-05   0.537402  0.462598
203   0.000774521   264.8   9255.61  0  -1049.66   -2.0829e-05   0.537573  0.462427
204   0.000782144   264.8   9255.6  0  -1049.68   -2.07623e-05   0.537742  0.462258
205   0.000790334   264.8   9255.59  0  -1049.7   -2.06962e-05   0.537911  0.462089
206   0.000799087   264.8   9255.58  0  -1049.72   -2.06306e-05   0.538078  0.461922
207   0.000808398   264.8   9255.57  0  -1049.73   -2.05656e-05   0.538245  0.461755
208   0.000818261   264.8   9255.56  0  -1049.75   -2.05011e-05   0.538411  0.461589
209   0.000828667   264.8   9255.55  0  -1049.77   -2.04372e-05   0.538576  0.461424
210   0.000839606   264.8   9255.54  0  -1049.79   -2.03738e-05   0.538741  0.461259
211   0.000851069   264.8   9255.53  0  -1049.81   -2.03109e-05   0.538905  0.461095
212   0.000863042   264.8   9255.53  0  -1049.82   -2.02485e-05   0.53907  0.46093
213   0.000875514   264.8   9255.52  0  -1049.84   -2.01867e-05   0.539233  0.460767
214   0.000888471   264.8   9255.51  0  -1049.86   -2.01254e-05   0.539397  0.460603
215   0.000901898   264.8   9255.51  0  -1049.88   -2.00646e-05   0.539561  0.460439
216   0.00091578   264.8   9255.5  0  -1049.9   -2.00043e-05   0.539724  0.460276
217   0.000930102   264.8   9255.49  0  -1049.91   -1.99445e-05   0.539888  0.460112
218   0.000944847   264.8   9255.49  0  -1049.93   -1.98852e-05   0.540052  0.459948
219   0.000959998   264.8   9255.48  0  -1049.95   -1.98263e-05   0.540216  0.459784
220   0.000975538   264.8   9255.48  0  -1049.97   -1.97678e-05   0.540381  0.459619
221   0.00099145   264.8   9255.47  0  -1049.98   -1.97098e-05   0.540545  0.459455
222   0.00100772   264.8   9255.47  0  -1050   -1.96521e-05   0.54071  0.45929
223   0.00102432   264.8   9255.46  0  -1050.02   -1.95948e-05   0.540876  0.459124
224   0.00104123   264.8   9255.45  0  -1050.04   -1.95378e-05   0.541042  0.458958
225   0.00105845   264.8   9255.45  0  -1050.05   -1.94811e-05   0.541209  0.458791
226   0.00107594   264.8   9255.44  0  -1050.07   -1.94247e-05   0.541376  0.458624
227   0.0010937   264.8   9255.44  0  -1050.08   -1.93686e-05   0.541544  0.458456
228   0.00111169   264.8   9255.43  0  -1050.1   -1.93127e-05   0.541713  0.458287
229   0.00112991   264.8   9255.42  0  -1050.11   -1.92569e-05   0.541883  0.458117
230   0.00114833   264.8   9255.42  0  -1050.13   -1.92013e-05   0.542053  0.457947
231   0.00116693   264.8   9255.41  0  -1050.14   -1.91457e-05   0.542224  0.457776
232   0.0011857   264.8   9255.4  0  -1050.16   -1.90902e-05   0.542396  0.457604
233   0.00120461   264.8   9255.4  0  -1050.17   -1.90348e-05   0.542569  0.457431
234   0.00122365   264.8   9255.39  0  -1050.19   -1.89793e-05   0.542743  0.457257
235   0.00124279   264.8   9255.38  0  -1050.2   -1.89237e-05   0.542918  0.457082
236   0.00126202   264.8   9255.37  0  -1050.21   -1.8868e-05   0.543093  0.456907
237   0.00128133   264.8   9255.37  0  -1050.22   -1.88122e-05   0.54327  0.45673
238   0.00130068   264.8   9255.36  0  -1050.24   -1.87562e-05   0.543448  0.456552
239   0.00132007   264.8   9255.35  0  -1050.25   -1.86999e-05   0.543627  0.456373
240   0.00133947   264.8   9255.34  0  -1050.26   -1.86433e-05   0.543806  0.456194
241   0.00135888   264.8   9255.33  0  -1050.27   -1.85864e-05   0.543987  0.456013
242   0.00137827   264.8   9255.32  0  -1050.28   -1.8529e-05   0.544169  0.455831
243   0.00139763   264.8   9255.31  0  -1050.29   -1.84713e-05   0.544352  0.455648
244   0.00141695   264.8   9255.3  0  -1050.3   -1.84131e-05   0.544537  0.455463
245   0.0014362   264.8   9255.29  0  -1050.3   -1.83543e-05   0.544722  0.455278
246   0.00145538   264.8   9255.28  0  -1050.31   -1.8295e-05   0.544909  0.455091
247   0.00147448   264.8   9255.27  0  -1050.32   -1.8235e-05   0.545096  0.454904
