#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
76   8.4216081737e-05   2.6403459457e+02   9.2564866754e+03  0.0000000000e+00  -1.0449350769e+03   -5.8260138550e-05   5.3353010917e-01  4.6646989083e-01   1.1673840293e-01
77   9.3001309802e-05   2.6403459457e+02   9.2562400847e+03  0.0000000000e+00  -1.0448000925e+03   -5.8632220398e-05   5.3365035193e-01  4.6634964807e-01   1.1160633229e-01
78   1.0048438902e-04   2.6403459457e+02   9.2560026683e+03  0.0000000000e+00  -1.0446696622e+03   -5.8999233268e-05   5.3376872324e-01  4.6623127676e-01   1.0698601509e-01
79   1.0683296789e-04   2.6403459457e+02   9.2557735108e+03  0.0000000000e+00  -1.0445432958e+03   -5.9360895776e-05   5.3388510967e-01  4.6611489033e-01   1.0279122845e-01
80   1.1221441808e-04   2.6403459457e+02   9.2555518518e+03  0.0000000000e+00  -1.0444205857e+03   -5.9716998162e-05   5.3399944390e-01  4.6600055610e-01   9.8948848319e-02
81   1.1678822800e-04   2.6403459457e+02   9.2553370660e+03  0.0000000000e+00  -1.0443011967e+03   -6.0067402131e-05   5.3411169974e-01  4.6588830026e-01   9.5396797673e-02
82   1.2069816259e-04   2.6403459457e+02   9.2551286441e+03  0.0000000000e+00  -1.0441848580e+03   -6.0412033477e-05   5.3422188567e-01  4.6577811433e-01   9.2083159860e-02
83   1.2406575752e-04   2.6403459457e+02   9.2549261743e+03  0.0000000000e+00  -1.0440713538e+03   -6.0750871671e-05   5.3433003810e-01  4.6566996190e-01   8.8965654020e-02
84   1.2698684372e-04   2.6403459457e+02   9.2547293254e+03  0.0000000000e+00  -1.0439605157e+03   -6.1083938318e-05   5.3443621558e-01  4.6556378442e-01   8.6010804989e-02
85   1.2960493893e-04   2.6403459457e+02   9.2545369990e+03  0.0000000000e+00  -1.0438518883e+03   -6.1410733526e-05   5.3454051422e-01  4.6545948578e-01   8.3698984567e-02
