#omega  DOS(omega)
591.716   0.118452
591.726   0.119289
591.736   0.120137
591.746   0.120994
591.756   0.121862
591.766   0.12274
591.776   0.123628
591.786   0.124526
591.796   0.125436
591.806   0.126356
591.816   0.127287
591.826   0.12823
591.836   0.129184
591.846   0.130149
591.856   0.131126
591.866   0.132116
591.876   0.133117
591.886   0.134131
591.896   0.135157
591.906   0.136196
591.916   0.137247
591.926   0.138312
591.936   0.139391
591.946   0.140483
591.956   0.141588
591.966   0.142708
591.976   0.143842
591.986   0.144991
591.996   0.146154
592.006   0.147332
592.016   0.148525
592.026   0.149734
592.036   0.150959
592.046   0.1522
592.056   0.153457
592.066   0.154731
592.076   0.156022
592.086   0.157329
592.096   0.158655
592.106   0.159998
592.116   0.161359
592.126   0.162739
592.136   0.164137
592.146   0.165555
592.156   0.166992
592.166   0.168448
592.176   0.169925
592.186   0.171423
592.196   0.172941
592.206   0.174481
592.216   0.176042
592.226   0.177625
592.236   0.179231
592.246   0.18086
592.256   0.182512
592.266   0.184188
592.276   0.185888
592.286   0.187613
592.296   0.189363
592.306   0.191139
592.316   0.192941
592.326   0.19477
592.336   0.196625
592.346   0.198509
592.356   0.200421
592.366   0.202362
592.376   0.204332
592.386   0.206332
592.396   0.208363
592.406   0.210425
592.416   0.212519
592.426   0.214646
592.436   0.216806
592.446   0.219
592.456   0.221228
592.466   0.223492
592.476   0.225792
592.486   0.228129
592.496   0.230503
592.506   0.232916
592.516   0.235368
592.526   0.23786
592.536   0.240394
592.546   0.242969
592.556   0.245587
592.566   0.248249
592.576   0.250956
592.586   0.253708
592.596   0.256507
592.606   0.259354
592.616   0.26225
592.626   0.265196
592.636   0.268193
592.646   0.271243
592.656   0.274346
592.666   0.277504
592.676   0.280719
592.686   0.28399
592.696   0.287321
592.706   0.290712
592.716   0.294165
592.726   0.29768
592.736   0.301261
592.746   0.304908
592.756   0.308623
592.766   0.312407
592.776   0.316263
592.786   0.320193
592.796   0.324197
592.806   0.328278
592.816   0.332438
592.826   0.336679
592.836   0.341004
592.846   0.345413
592.856   0.34991
592.866   0.354497
592.876   0.359176
592.886   0.363949
592.896   0.36882
592.906   0.373791
592.916   0.378864
592.926   0.384043
592.936   0.38933
592.946   0.394728
